"Name","DisplayName","Status","StartType","Time"
"NetSetupSvc","Network Setup Service","Stopped","Manual","12-26-2024 18:05:41"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Disabled","12-26-2024 18:05:41"
"NgcCtnrSvc","Microsoft Passport Container","Stopped","Manual","12-26-2024 18:05:41"
"NgcSvc","Microsoft Passport","Stopped","Manual","12-26-2024 18:05:41"
"NlaSvc","Network Location Awareness","Stopped","Manual","12-26-2024 18:05:41"
"NPSMSvc_c5db7c7","NPSMSvc_c5db7c7","Running","Manual","12-26-2024 18:05:41"
"nsi","Network Store Interface Service","Running","Automatic","12-26-2024 18:05:41"
"NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS","Running","Automatic","12-26-2024 18:05:41"
"OneSyncSvc_c5db7c7","Sync Host_c5db7c7","Running","Automatic","12-26-2024 18:05:41"
"p2pimsvc","Peer Networking Identity Manager","Stopped","Manual","12-26-2024 18:05:41"
"p2psvc","Peer Networking Grouping","Stopped","Manual","12-26-2024 18:05:41"
"P9RdrService_c5db7c7","P9RdrService_c5db7c7","Stopped","Manual","12-26-2024 18:05:41"
"PcaSvc","Program Compatibility Assistant Service","Running","Automatic","12-26-2024 18:05:41"
"PenService_c5db7c7","PenService_c5db7c7","Stopped","Manual","12-26-2024 18:05:41"
"perceptionsimulation","Windows Perception Simulation Service","Stopped","Manual","12-26-2024 18:05:41"
"PerfHost","Performance Counter DLL Host","Stopped","Manual","12-26-2024 18:05:41"
"PhoneSvc","Phone Service","Stopped","Manual","12-26-2024 18:05:41"
"PimIndexMaintenanceSvc_c5db7c7","Contact Data_c5db7c7","Stopped","Manual","12-26-2024 18:05:41"
"pla","Performance Logs & Alerts","Stopped","Manual","12-26-2024 18:05:41"
"PlugPlay","Plug and Play","Running","Manual","12-26-2024 18:05:41"
"PNRPAutoReg","PNRP Machine Name Publication Service","Stopped","Manual","12-26-2024 18:05:41"
"PNRPsvc","Peer Name Resolution Protocol","Stopped","Manual","12-26-2024 18:05:41"
"PolicyAgent","IPsec Policy Agent","Stopped","Manual","12-26-2024 18:05:41"
"Power","Power","Running","Automatic","12-26-2024 18:05:41"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual","12-26-2024 18:05:41"
"PrintWorkflowUserSvc_c5db7c7","PrintWorkflow_c5db7c7","Stopped","Manual","12-26-2024 18:05:41"
"ProfSvc","User Profile Service","Running","Automatic","12-26-2024 18:05:41"
"PushToInstall","Windows PushToInstall Service","Stopped","Manual","12-26-2024 18:05:41"
"QWAVE","Quality Windows Audio Video Experience","Running","Manual","12-26-2024 18:05:41"
"RasAuto","Remote Access Auto Connection Manager","Stopped","Manual","12-26-2024 18:05:41"
"RasMan","Remote Access Connection Manager","Running","Manual","12-26-2024 18:05:41"
"RemoteAccess","Routing and Remote Access","Stopped","Disabled","12-26-2024 18:05:41"
"RemoteRegistry","Remote Registry","Stopped","Disabled","12-26-2024 18:05:41"
"RetailDemo","Retail Demo Service","Stopped","Manual","12-26-2024 18:05:41"
"RmSvc","Radio Management Service","Running","Manual","12-26-2024 18:05:41"
"RpcEptMapper","RPC Endpoint Mapper","Running","Automatic","12-26-2024 18:05:41"
"RpcLocator","Remote Procedure Call (RPC) Locator","Stopped","Manual","12-26-2024 18:05:41"
"RpcSs","Remote Procedure Call (RPC)","Running","Automatic","12-26-2024 18:05:41"
"RtkAudioUniversalService","Realtek Audio Universal Service","Running","Automatic","12-26-2024 18:05:41"
"RtkBtManServ","Realtek Bluetooth Device Manager Service","Running","Automatic","12-26-2024 18:05:41"
"SamSs","Security Accounts Manager","Running","Automatic","12-26-2024 18:05:41"
"SCardSvr","Smart Card","Stopped","Manual","12-26-2024 18:05:41"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped","Manual","12-26-2024 18:05:41"
"Schedule","Task Scheduler","Running","Automatic","12-26-2024 18:05:41"
"SCPolicySvc","Smart Card Removal Policy","Stopped","Manual","12-26-2024 18:05:41"
"SDRSVC","Windows Backup","Stopped","Manual","12-26-2024 18:05:41"
"seclogon","Secondary Logon","Running","Manual","12-26-2024 18:05:41"
"SecurityHealthService","Windows Security Service","Running","Manual","12-26-2024 18:05:41"
"SEMgrSvc","Payments and NFC/SE Manager","Stopped","Manual","12-26-2024 18:05:41"
"SENS","System Event Notification Service","Running","Automatic","12-26-2024 18:05:41"
"SensorDataService","Sensor Data Service","Stopped","Manual","12-26-2024 18:05:41"
"SensorService","Sensor Service","Stopped","Manual","12-26-2024 18:05:41"
"SensrSvc","Sensor Monitoring Service","Stopped","Manual","12-26-2024 18:05:41"
"SessionEnv","Remote Desktop Configuration","Stopped","Manual","12-26-2024 18:05:41"
"SgrmBroker","System Guard Runtime Monitor Broker","Stopped","Disabled","12-26-2024 18:05:41"
"SharedAccess","Internet Connection Sharing (ICS)","Stopped","Manual","12-26-2024 18:05:41"
"SharedRealitySvc","Spatial Data Service","Stopped","Manual","12-26-2024 18:05:41"
"ShellHWDetection","Shell Hardware Detection","Running","Automatic","12-26-2024 18:05:41"
"shpamsvc","Shared PC Account Manager","Stopped","Disabled","12-26-2024 18:05:41"
"smphost","Microsoft Storage Spaces SMP","Stopped","Manual","12-26-2024 18:05:41"
"SmsRouter","Microsoft Windows SMS Router Service.","Stopped","Manual","12-26-2024 18:05:41"
"SNMPTrap","SNMP Trap","Stopped","Manual","12-26-2024 18:05:41"
"spectrum","Windows Perception Service","Stopped","Manual","12-26-2024 18:05:41"
"Spooler","Print Spooler","Stopped","Automatic","12-26-2024 18:05:41"
"sppsvc","Software Protection","Stopped","Automatic","12-26-2024 18:05:41"
"SSDPSRV","SSDP Discovery","Running","Manual","12-26-2024 18:05:41"
"ssh-agent","OpenSSH Authentication Agent","Stopped","Disabled","12-26-2024 18:05:41"
"SstpSvc","Secure Socket Tunneling Protocol Service","Running","Manual","12-26-2024 18:05:41"
"StateRepository","State Repository Service","Running","Automatic","12-26-2024 18:05:41"
"Steam Client Service","Steam Client Service","Stopped","Manual","12-26-2024 18:05:41"
"StiSvc","Windows Image Acquisition (WIA)","Running","Automatic","12-26-2024 18:05:41"
"StorSvc","Storage Service","Running","Automatic","12-26-2024 18:05:41"
"svsvc","Spot Verifier","Stopped","Manual","12-26-2024 18:05:41"
"swprv","Microsoft Software Shadow Copy Provider","Stopped","Manual","12-26-2024 18:05:41"
"SysMain","SysMain","Running","Automatic","12-26-2024 18:05:41"
"SystemEventsBroker","System Events Broker","Running","Automatic","12-26-2024 18:05:41"
"TapiSrv","Telephony","Running","Manual","12-26-2024 18:05:41"
"TermService","Remote Desktop Services","Stopped","Manual","12-26-2024 18:05:41"
"TextInputManagementService","Text Input Management Service","Running","Automatic","12-26-2024 18:05:41"
"Themes","Themes","Running","Automatic","12-26-2024 18:05:41"
"TieringEngineService","Storage Tiers Management","Stopped","Manual","12-26-2024 18:05:41"
"TimeBrokerSvc","Time Broker","Running","Manual","12-26-2024 18:05:41"
"Tobii Service","Tobii Service","Running","Automatic","12-26-2024 18:05:41"
"TobiiRGB","Tobii Runtime Service","Running","Automatic","12-26-2024 18:05:41"
"TokenBroker","Web Account Manager","Running","Manual","12-26-2024 18:05:41"
"TrkWks","Distributed Link Tracking Client","Running","Automatic","12-26-2024 18:05:41"
"TroubleshootingSvc","Recommended Troubleshooting Service","Stopped","Manual","12-26-2024 18:05:41"
"TrustedInstaller","Windows Modules Installer","Stopped","Manual","12-26-2024 18:05:41"
"tzautoupdate","Auto Time Zone Updater","Stopped","Disabled","12-26-2024 18:05:41"
"UdkUserSvc_c5db7c7","Udk User Service_c5db7c7","Running","Manual","12-26-2024 18:05:41"
"uhssvc","Microsoft Update Health Service","Stopped","Disabled","12-26-2024 18:05:41"
"UltraViewService","UltraViewer Service","Running","Automatic","12-26-2024 18:05:41"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Stopped","Manual","12-26-2024 18:05:41"
"UnistoreSvc_c5db7c7","User Data Storage_c5db7c7","Stopped","Manual","12-26-2024 18:05:41"
"upnphost","UPnP Device Host","Stopped","Manual","12-26-2024 18:05:41"
"UserDataSvc_c5db7c7","User Data Access_c5db7c7","Stopped","Manual","12-26-2024 18:05:41"
"UserManager","User Manager","Running","Automatic","12-26-2024 18:05:41"
"UsoSvc","Update Orchestrator Service","Running","Automatic","12-26-2024 18:05:41"
"VacSvc","Volumetric Audio Compositor Service","Stopped","Manual","12-26-2024 18:05:41"
"VaultSvc","Credential Manager","Running","Manual","12-26-2024 18:05:41"
"vds","Virtual Disk","Stopped","Manual","12-26-2024 18:05:41"
"vgc","vgc","Stopped","Manual","12-26-2024 18:05:41"
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped","Manual","12-26-2024 18:05:41"
"vmicheartbeat","Hyper-V Heartbeat Service","Stopped","Manual","12-26-2024 18:05:41"
"vmickvpexchange","Hyper-V Data Exchange Service","Stopped","Manual","12-26-2024 18:05:41"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual","12-26-2024 18:05:41"
"vmicshutdown","Hyper-V Guest Shutdown Service","Stopped","Manual","12-26-2024 18:05:41"
"vmictimesync","Hyper-V Time Synchronization Service","Stopped","Manual","12-26-2024 18:05:41"
"vmicvmsession","Hyper-V PowerShell Direct Service","Stopped","Manual","12-26-2024 18:05:41"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual","12-26-2024 18:05:41"
"VSS","Volume Shadow Copy","Stopped","Manual","12-26-2024 18:05:41"
"W32Time","Windows Time","Running","Manual","12-26-2024 18:05:41"
"WaaSMedicSvc","WaaSMedicSvc","Stopped","Manual","12-26-2024 18:05:41"
"WalletService","WalletService","Stopped","Manual","12-26-2024 18:05:41"
"WarpJITSvc","Warp JIT Service","Stopped","Manual","12-26-2024 18:05:41"
"wbengine","Block Level Backup Engine Service","Stopped","Manual","12-26-2024 18:05:41"
"WbioSrvc","Windows Biometric Service","Stopped","Manual","12-26-2024 18:05:41"
"Wcmsvc","Windows Connection Manager","Running","Automatic","12-26-2024 18:05:41"
"wcncsvc","Windows Connect Now - Config Registrar","Running","Manual","12-26-2024 18:05:41"
"WdiServiceHost","Diagnostic Service Host","Stopped","Manual","12-26-2024 18:05:41"
"WdiSystemHost","Diagnostic System Host","Stopped","Manual","12-26-2024 18:05:41"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Running","Manual","12-26-2024 18:05:41"
"WebClient","WebClient","Stopped","Manual","12-26-2024 18:05:41"
"webthreatdefsvc","Web Threat Defense Service","Running","Manual","12-26-2024 18:05:41"
"webthreatdefusersvc_c5db7c7","Web Threat Defense User Service_c5db7c7","Running","Automatic","12-26-2024 18:05:41"
"Wecsvc","Windows Event Collector","Stopped","Manual","12-26-2024 18:05:41"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped","Manual","12-26-2024 18:05:41"
"wercplsupport","Problem Reports Control Panel Support","Stopped","Manual","12-26-2024 18:05:41"
"WerSvc","Windows Error Reporting Service","Stopped","Manual","12-26-2024 18:05:41"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Stopped","Manual","12-26-2024 18:05:41"
"WiaRpc","Still Image Acquisition Events","Stopped","Manual","12-26-2024 18:05:41"
"WinDefend","Microsoft Defender Antivirus Service","Running","Automatic","12-26-2024 18:05:41"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Running","Manual","12-26-2024 18:05:41"
"Winmgmt","Windows Management Instrumentation","Running","Automatic","12-26-2024 18:05:41"
"WinRM","Windows Remote Management (WS-Management)","Stopped","Manual","12-26-2024 18:05:41"
"wisvc","Windows Insider Service","Stopped","Manual","12-26-2024 18:05:41"
"WlanSvc","WLAN AutoConfig","Running","Automatic","12-26-2024 18:05:41"
"wlidsvc","Microsoft Account Sign-in Assistant","Stopped","Manual","12-26-2024 18:05:41"
"wlpasvc","Local Profile Assistant Service","Stopped","Manual","12-26-2024 18:05:41"
"WManSvc","Windows Management Service","Stopped","Manual","12-26-2024 18:05:41"
"wmiApSrv","WMI Performance Adapter","Stopped","Manual","12-26-2024 18:05:41"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Stopped","Manual","12-26-2024 18:05:41"
"workfolderssvc","Work Folders","Stopped","Manual","12-26-2024 18:05:41"
"WpcMonSvc","Parental Controls","Stopped","Manual","12-26-2024 18:05:41"
"WPDBusEnum","Portable Device Enumerator Service","Stopped","Manual","12-26-2024 18:05:41"
"WpnService","Windows Push Notifications System Service","Running","Automatic","12-26-2024 18:05:41"
"WpnUserService_c5db7c7","Windows Push Notifications User Service_c5db7c7","Running","Automatic","12-26-2024 18:05:41"
"wscsvc","Security Center","Running","Automatic","12-26-2024 18:05:41"
"WSearch","Windows Search","Running","Automatic","12-26-2024 18:05:41"
"wuauserv","Windows Update","Stopped","Manual","12-26-2024 18:05:41"
"WwanSvc","WWAN AutoConfig","Stopped","Manual","12-26-2024 18:05:41"
"XblAuthManager","Xbox Live Auth Manager","Stopped","Manual","12-26-2024 18:05:41"
"XblGameSave","Xbox Live Game Save","Stopped","Manual","12-26-2024 18:05:41"
"XboxGipSvc","Xbox Accessory Management Service","Stopped","Manual","12-26-2024 18:05:41"
"XboxNetApiSvc","Xbox Live Networking Service","Stopped","Manual","12-26-2024 18:05:41"
